"Rk","Pk","Draft Year","Player ID","Team","Player Name","College","TOTG","TOTMP","TOTFG","TOTFGA","TOT3P","TOT3PA","TOTFT","TOTFTA","TOTORB","TRB","TOTAST","TOTSTL","TOTBLK","TOTTOV","TOTPF","TOTPTS","FG%","3P%","FT%","MPPG","PTSPG","TRBPG","ASTPG"
"6","6","2003","200306","MIL","T.J. Ford","Texas","66","2178","282","695","23","101","266","332","43","253","527","138","9","238","174","853","0.406","0.228","0.801","33","12.9","3.8","8"
"7","7","2003","200307","NYK","Mike Sweetney","Georgetown","96","2781","608","1117","0","4","534","735","349","887","174","101","180","236","224","1750","0.544","0","0.727","29","18.2","9.2","1.8"
"8","8","2003","200308","WAS","Jarvis Hayes","Georgia","84","2636","575","1258","157","426","203","263","115","422","127","111","39","146","189","1510","0.457","0.369","0.772","31.4","18","5","1.5"
"9","9","2003","200309","SEA","Nick Collison","Kansas","142","3888","858","1526","23","64","358","574","390","1143","257","155","243","346","413","2097","0.562","0.359","0.624","27.4","14.8","8","1.8"
"10","10","2003","200310","MEM","Marcus Banks","UNLV","63","2160","381","770","65","197","312","427","48","210","269","158","10","225","183","1139","0.495","0.33","0.731","34.3","18.1","3.3","4.3"
"11","11","2003","200311","SEA","Luke Ridnour","Oregon","96","3226","431","1005","203","522","334","389","42","285","500","150","10","303","198","1399","0.429","0.389","0.859","33.6","14.6","3","5.2"
"12","12","2003","200312","ORL","Reece Gaines","Louisville","125","3946","632","1398","225","588","456","608","88","424","475","192","28","332","316","1945","0.452","0.383","0.75","31.6","15.6","3.4","3.8"
"13","13","2003","200313","BOS","Troy Bell","Boston College","122","4357","761","1794","300","807","810","933","209","493","427","272","35","351","284","2632","0.424","0.372","0.868","35.7","21.6","4","3.5"
"14","14","2003","200314","NOH","David West","Xavier","126","4210","726","1366","18","55","662","874","445","1308","267","174","228","320","350","2132","0.531","0.327","0.757","33.4","16.9","10.4","2.1"
"15","15","2003","200315","BOS","Dahntay Jones","Duke","131","3907","636","1406","109","317","430","577","144","598","181","133","81","278","398","1811","0.452","0.344","0.745","29.8","13.8","4.6","1.4"
"16","16","2003","200316","LAL","Brian Cook","Illinois","132","3389","635","1246","94","277","384","484","228","815","171","92","136","266","394","1748","0.51","0.339","0.793","25.7","13.2","6.2","1.3"
